freq, MHz	val1	val2	val3	unit
0,0302	49,2081			dBuV
0,0303	47,8362			dBuV
0,0304	47,8065			dBuV
0,0305	48,9986			dBuV
0,0306	46,4969			dBuV
0,0307	41,1356			dBuV
0,0308	47,0011			dBuV
0,0309	46,8080			dBuV
0,0310	40,3551			dBuV
0,0311	51,5155			dBuV
0,0312	46,6093			dBuV
0,0313	38,3966			dBuV
0,0314	40,6308			dBuV
0,0315	35,0938			dBuV
0,0316	48,4904			dBuV
0,0317	47,6530			dBuV
0,0318	38,3154			dBuV
0,0319	44,8699			dBuV
0,0320	46,9839			dBuV
0,0321	39,5275			dBuV
0,0322	49,7252			dBuV
0,0323	42,6103			dBuV
0,0324	48,5408			dBuV
0,0325	44,8835			dBuV
0,0326	43,0374			dBuV
0,0327	43,2790			dBuV
0,0328	37,3370			dBuV
0,0329	44,4200			dBuV
0,0330	45,3510			dBuV
0,0331	43,8048			dBuV
0,0332	43,0609			dBuV
0,0333	45,2194			dBuV
0,0334	42,9976			dBuV
0,0335	38,6739			dBuV
0,0336	44,3311			dBuV
0,0337	46,3150			dBuV
0,0338	41,3322			dBuV
0,0339	45,1037			dBuV
0,0340	41,1909			dBuV
0,0341	41,3119			dBuV
0,0342	42,5919			dBuV
0,0343	44,6552			dBuV
0,0344	44,0048			dBuV
0,0345	41,5505			dBuV
0,0346	39,9327			dBuV
0,0347	40,3970			dBuV
0,0348	44,5791			dBuV
0,0349	42,9588			dBuV
0,0350	41,4104			dBuV
0,0351	39,9858			dBuV
0,0352	41,4648			dBuV
0,0353	41,6892			dBuV
0,0354	44,0755			dBuV
0,0355	38,4499			dBuV
0,0356	45,4092			dBuV
0,0357	41,6782			dBuV
0,0358	43,0906			dBuV
0,0359	43,5925			dBuV
0,0360	42,7431			dBuV
0,0361	38,8019			dBuV
0,0362	39,3746			dBuV
0,0363	35,1762			dBuV
0,0364	44,3153			dBuV
0,0365	40,4280			dBuV
0,0366	37,5434			dBuV
0,0367	41,2339			dBuV
0,0368	41,8233			dBuV
0,0369	44,0508			dBuV
0,0370	41,7116			dBuV
0,0371	38,7163			dBuV
0,0372	38,8258			dBuV
0,0373	40,5372			dBuV
0,0374	39,4523			dBuV
0,0375	39,0209			dBuV
0,0376	40,4031			dBuV
0,0377	39,1735			dBuV
0,0378	39,2051			dBuV
0,0379	40,9552			dBuV
0,0380	42,4381			dBuV
0,0381	34,9782			dBuV
0,0382	38,1019			dBuV
0,0383	42,5924			dBuV
0,0384	36,3777			dBuV
0,0385	37,7639			dBuV
0,0386	41,2215			dBuV
0,0387	38,3986			dBuV
0,0388	40,1554			dBuV
0,0389	39,9783			dBuV
0,0390	39,1757			dBuV
0,0391	38,9755			dBuV
0,0392	39,2978			dBuV
0,0393	35,6967			dBuV
0,0394	36,2876			dBuV
0,0395	38,0216			dBuV
0,0396	45,2629			dBuV
0,0397	37,8728			dBuV
0,0398	39,3180			dBuV
0,0399	44,3001			dBuV
0,0400	41,0222			dBuV
0,0401	42,1188			dBuV
0,0402	38,4856			dBuV
0,0403	31,6059			dBuV
0,0404	38,0409			dBuV
0,0405	37,4585			dBuV
0,0406	37,2184			dBuV
0,0407	39,5817			dBuV
0,0408	40,2911			dBuV
0,0409	37,6490			dBuV
0,0410	34,1938			dBuV
0,0411	39,4174			dBuV
0,0412	37,6299			dBuV
0,0413	34,1345			dBuV
0,0414	39,8108			dBuV
0,0415	41,5707			dBuV
0,0416	34,3630			dBuV
0,0417	36,6503			dBuV
0,0418	37,7155			dBuV
0,0419	37,1494			dBuV
0,0420	36,2728			dBuV
0,0421	38,2818			dBuV
0,0422	35,5388			dBuV
0,0423	37,5380			dBuV
0,0424	38,7014			dBuV
0,0425	34,6746			dBuV
0,0426	32,0600			dBuV
0,0427	40,6717			dBuV
0,0428	38,5852			dBuV
0,0429	35,7793			dBuV
0,0430	35,5952			dBuV
0,0431	35,7729			dBuV
0,0432	33,3547			dBuV
0,0433	32,0427			dBuV
0,0434	37,3748			dBuV
0,0435	33,6613			dBuV
0,0436	37,5380			dBuV
0,0437	34,6467			dBuV
0,0438	37,1598			dBuV
0,0439	31,5280			dBuV
0,0440	39,5862			dBuV
0,0441	32,7996			dBuV
0,0442	33,6391			dBuV
0,0443	36,5565			dBuV
0,0444	30,1805			dBuV
0,0445	36,9116			dBuV
0,0446	35,8032			dBuV
0,0447	35,6159			dBuV
0,0448	37,6184			dBuV
0,0449	35,0363			dBuV
0,0450	33,7927			dBuV
0,0451	38,3597			dBuV
0,0452	33,5530			dBuV
0,0453	30,9656			dBuV
0,0454	34,6774			dBuV
0,0455	32,6907			dBuV
0,0456	35,9651			dBuV
0,0457	37,5189			dBuV
0,0458	37,7127			dBuV
0,0459	35,7246			dBuV
0,0460	32,7645			dBuV
0,0461	38,9319			dBuV
0,0462	36,1373			dBuV
0,0463	39,9999			dBuV
0,0464	37,7316			dBuV
0,0465	29,7557			dBuV
0,0466	39,2155			dBuV
0,0467	34,7940			dBuV
0,0468	37,5741			dBuV
0,0469	33,4536			dBuV
0,0470	32,3340			dBuV
0,0471	34,5744			dBuV
0,0472	36,2931			dBuV
0,0473	32,7672			dBuV
0,0474	31,7578			dBuV
0,0475	34,2570			dBuV
0,0476	30,6768			dBuV
0,0477	32,5610			dBuV
0,0478	28,3861			dBuV
0,0479	33,0547			dBuV
0,0480	36,9640			dBuV
0,0481	36,0435			dBuV
0,0482	32,5361			dBuV
0,0483	29,7670			dBuV
0,0484	39,1317			dBuV
0,0485	34,7947			dBuV
0,0486	28,8470			dBuV
0,0487	34,2219			dBuV
0,0488	30,9947			dBuV
0,0489	33,7852			dBuV
0,0490	23,5341			dBuV
0,0491	34,9834			dBuV
0,0492	27,3302			dBuV
0,0493	33,9704			dBuV
0,0494	34,9562			dBuV
0,0495	33,1909			dBuV
0,0496	34,5035			dBuV
0,0497	30,3249			dBuV
0,0498	26,0759			dBuV
0,0499	31,5287			dBuV
0,0500	31,9932			dBuV
0,0501	33,8924			dBuV
0,0502	27,7545			dBuV
0,0503	35,4743			dBuV
0,0504	32,2601			dBuV
0,0505	32,0697			dBuV
0,0506	31,6017			dBuV
0,0507	36,1222			dBuV
0,0508	31,4113			dBuV
0,0509	30,7221			dBuV
0,0510	30,8995			dBuV
0,0511	27,9350			dBuV
0,0512	29,2157			dBuV
0,0513	33,9759			dBuV
0,0514	32,9596			dBuV
0,0515	29,2724			dBuV
0,0516	31,2824			dBuV
0,0517	28,7159			dBuV
0,0518	30,0941			dBuV
0,0519	34,7224			dBuV
0,0520	27,8744			dBuV
0,0521	28,9784			dBuV
0,0522	28,0599			dBuV
0,0523	30,3832			dBuV
0,0524	32,1084			dBuV
0,0525	30,5500			dBuV
0,0526	29,4149			dBuV
0,0527	25,8710			dBuV
0,0528	31,6398			dBuV
0,0529	29,4162			dBuV
0,0530	27,8926			dBuV
0,0531	29,1961			dBuV
0,0532	30,8929			dBuV
0,0533	30,3679			dBuV
0,0534	30,2808			dBuV
0,0535	30,2072			dBuV
0,0536	25,9788			dBuV
0,0537	31,2384			dBuV
0,0538	24,5303			dBuV
0,0539	27,6827			dBuV
0,0540	26,2814			dBuV
0,0541	29,4852			dBuV
0,0542	31,2444			dBuV
0,0543	24,3302			dBuV
0,0544	23,0781			dBuV
0,0545	24,0695			dBuV
0,0546	26,0685			dBuV
0,0547	24,6868			dBuV
0,0548	22,8262			dBuV
0,0549	30,4465			dBuV
0,0550	26,9889			dBuV
0,0551	29,7765			dBuV
0,0552	29,6982			dBuV
0,0553	32,7831			dBuV
0,0554	25,1868			dBuV
0,0555	32,2956			dBuV
0,0556	26,6554			dBuV
0,0557	28,6175			dBuV
0,0558	29,2743			dBuV
0,0559	27,5244			dBuV
0,0560	24,8357			dBuV
0,0561	29,8222			dBuV
0,0562	31,6606			dBuV
0,0563	30,2032			dBuV
0,0564	30,7160			dBuV
0,0565	30,5770			dBuV
0,0566	20,0906			dBuV
0,0567	21,5706			dBuV
0,0568	24,0857			dBuV
0,0569	30,1761			dBuV
0,0570	30,6302			dBuV
0,0571	26,5716			dBuV
0,0572	29,4085			dBuV
0,0573	22,0445			dBuV
0,0574	27,3551			dBuV
0,0575	31,0901			dBuV
0,0576	26,4014			dBuV
0,0577	29,5846			dBuV
0,0578	23,6355			dBuV
0,0579	20,1470			dBuV
0,0580	30,1213			dBuV
0,0581	21,8039			dBuV
0,0582	28,8823			dBuV
0,0583	29,7800			dBuV
0,0584	26,5336			dBuV
0,0585	30,9033			dBuV
0,0586	27,8171			dBuV
0,0587	26,0428			dBuV
0,0588	29,1890			dBuV
0,0589	27,3568			dBuV
0,0590	25,7473			dBuV
0,0591	28,0192			dBuV
0,0592	19,2263			dBuV
0,0593	31,2955			dBuV
0,0594	29,2519			dBuV
0,0595	24,7318			dBuV
0,0596	23,1648			dBuV
0,0597	27,8170			dBuV
0,0598	28,0266			dBuV
0,0599	27,3283			dBuV
0,0600	25,6458			dBuV
0,0601	26,6845			dBuV
0,0602	26,2328			dBuV
0,0603	33,4094			dBuV
0,0604	30,8881			dBuV
0,0605	27,8161			dBuV
0,0606	27,6342			dBuV
0,0607	27,5504			dBuV
0,0608	24,0551			dBuV
0,0609	26,0871			dBuV
0,0610	32,6266			dBuV
0,0611	30,8702			dBuV
0,0612	26,1308			dBuV
0,0613	20,3824			dBuV
0,0614	25,6098			dBuV
0,0615	28,0020			dBuV
0,0616	25,7650			dBuV
0,0617	28,8630			dBuV
0,0618	24,4360			dBuV
0,0619	27,5408			dBuV
0,0620	22,2226			dBuV
0,0621	22,6135			dBuV
0,0622	26,6560			dBuV
0,0623	22,6398			dBuV
0,0624	24,5465			dBuV
0,0625	22,4892			dBuV
0,0626	20,3606			dBuV
0,0627	26,7139			dBuV
0,0628	30,4178			dBuV
0,0629	20,6167			dBuV
0,0630	24,8749			dBuV
0,0631	26,7705			dBuV
0,0632	30,6925			dBuV
0,0633	29,4394			dBuV
0,0634	29,2182			dBuV
0,0635	27,1152			dBuV
0,0636	27,9906			dBuV
0,0637	24,0194			dBuV
0,0638	26,2897			dBuV
0,0639	28,6404			dBuV
0,0640	25,4481			dBuV
0,0641	25,1532			dBuV
0,0642	25,8455			dBuV
0,0643	28,2280			dBuV
0,0644	24,8066			dBuV
0,0645	25,7660			dBuV
0,0646	22,7087			dBuV
0,0647	21,6920			dBuV
0,0648	26,4878			dBuV
0,0649	29,1121			dBuV
0,0650	27,9795			dBuV
0,0651	25,2024			dBuV
0,0652	25,9883			dBuV
0,0653	29,7238			dBuV
0,0654	24,5728			dBuV
0,0655	22,0206			dBuV
0,0656	28,7714			dBuV
0,0657	28,0299			dBuV
0,0658	25,3626			dBuV
0,0659	25,7973			dBuV
0,0660	24,8824			dBuV
0,0661	25,1879			dBuV
0,0662	26,7318			dBuV
0,0663	27,2290			dBuV
0,0664	24,6370			dBuV
0,0665	22,4392			dBuV
0,0666	29,3432			dBuV
0,0667	25,0010			dBuV
0,0668	20,4185			dBuV
0,0669	20,7736			dBuV
0,0670	25,8622			dBuV
0,0671	22,8243			dBuV
0,0672	27,0086			dBuV
0,0673	24,1474			dBuV
0,0674	27,5584			dBuV
0,0675	26,7014			dBuV
0,0676	26,8431			dBuV
0,0677	27,5108			dBuV
0,0678	24,7262			dBuV
0,0679	20,1279			dBuV
0,0680	20,3775			dBuV
